Date,active_power[W],kWh
2016-01-06 11:15,231.74,0.057935005
2016-01-06 11:30,151.28,0.037819916
2016-01-06 11:45,154.32,0.03857943
2016-01-06 12:00,150.68,0.037669472
2016-01-06 12:15,232.04,0.058010361
2016-01-06 12:30,260.15,0.065037384
2016-01-06 12:45,183.30,0.045825073
2016-01-06 13:00,147.35,0.036837746
2016-01-06 13:15,185.98,0.046494514
2016-01-06 13:30,354.18,0.088544922
2016-01-06 13:45,223.95,0.055988613
2016-01-06 14:00,702.64,0.175660309
2016-01-06 14:15,674.89,0.16872287
2016-01-06 14:30,3190.53,0.797633301
2016-01-06 14:45,858.78,0.214695435
2016-01-06 15:00,2284.55,0.571137756
2016-01-06 15:15,228.01,0.057003418
2016-01-06 15:30,785.61,0.196402496
2016-01-06 15:45,794.07,0.198517487
2016-01-06 16:00,2993.53,0.748382202
2016-01-06 16:15,262.71,0.065676712
2016-01-06 16:30,317.78,0.079444153
2016-01-06 16:45,343.22,0.085804749
2016-01-06 17:00,964.59,0.241147217
2016-01-06 17:15,1031.17,0.257793671
2016-01-06 17:30,762.30,0.190576019
2016-01-06 17:45,253.28,0.063320862
2016-01-06 18:00,283.58,0.070895958
2016-01-06 18:15,972.55,0.24313736
2016-01-06 18:30,1029.15,0.257286743
2016-01-06 18:45,1052.48,0.263120972
2016-01-06 19:00,369.97,0.092493408
2016-01-06 19:15,2593.07,0.648267883
2016-01-06 19:30,447.99,0.111996964
2016-01-06 19:45,448.47,0.112116554
2016-01-06 20:00,524.39,0.131098358
2016-01-06 20:15,391.78,0.097945457
2016-01-06 20:30,715.64,0.178909668
2016-01-06 20:45,819.24,0.204808762
2016-01-06 21:00,705.93,0.176481506
2016-01-06 21:15,710.30,0.177575409
2016-01-06 21:30,874.23,0.218556839
2016-01-06 21:45,798.95,0.19973851
2016-01-06 22:00,641.02,0.160255081
2016-01-06 22:15,2712.18,0.678043945
2016-01-06 22:30,2498.67,0.624667114
2016-01-06 22:45,549.85,0.13746257
2016-01-06 23:00,670.08,0.167519943
2016-01-06 23:15,2664.60,0.666150696
2016-01-06 23:30,459.65,0.114911621
2016-01-06 23:45,169.30,0.042324051
2016-01-07 00:00,193.90,0.048473896
2016-01-07 00:15,241.32,0.060329681
2016-01-07 00:30,230.27,0.057567928
2016-01-07 00:45,138.52,0.03462978
2016-01-07 01:00,139.70,0.03492527
2016-01-07 01:15,137.33,0.034331703
2016-01-07 01:30,222.37,0.055592747
2016-01-07 01:45,250.03,0.062507599
2016-01-07 02:00,135.08,0.033768921
2016-01-07 02:15,171.39,0.042847511
2016-01-07 02:30,169.63,0.042406841
2016-01-07 02:45,255.38,0.063845154
2016-01-07 03:00,247.08,0.061770058
2016-01-07 03:15,145.50,0.036374893
2016-01-07 03:30,136.40,0.034101089
2016-01-07 03:45,137.70,0.034424706
2016-01-07 04:00,218.30,0.054574852
2016-01-07 04:15,209.39,0.052346256
2016-01-07 04:30,135.62,0.033905529
2016-01-07 04:45,168.10,0.042025345
2016-01-07 05:00,169.59,0.042396767
2016-01-07 05:15,219.98,0.054994778
2016-01-07 05:30,248.48,0.062119583
2016-01-07 05:45,175.07,0.043768715
2016-01-07 06:00,2249.89,0.562472534
2016-01-07 06:15,295.40,0.073850441
2016-01-07 06:30,294.67,0.073668564
2016-01-07 06:45,357.24,0.089311188
2016-01-07 07:00,231.17,0.05779343
2016-01-07 07:15,187.52,0.046880371
2016-01-07 07:30,260.05,0.065012711
2016-01-07 07:45,267.11,0.066776993
2016-01-07 08:00,187.45,0.046862427
2016-01-07 08:15,192.70,0.048175186
2016-01-07 08:30,187.98,0.046994289
2016-01-07 08:45,274.41,0.06860321
2016-01-07 09:00,242.67,0.060667545
2016-01-07 09:15,169.71,0.042428181
2016-01-07 09:30,164.55,0.041137909
2016-01-07 09:45,152.95,0.038236382
2016-01-07 10:00,262.21,0.065551788
2016-01-07 10:15,305.56,0.076389214
2016-01-07 10:30,175.83,0.043957027
2016-01-07 10:45,1274.41,0.318603088
2016-01-07 11:00,219.85,0.054962303
2016-01-07 11:15,2342.67,0.58566626
2016-01-07 11:30,431.07,0.107766808
2016-01-07 11:45,145.27,0.036317104
2016-01-07 12:00,136.38,0.034094963
2016-01-07 12:15,144.02,0.036004135
2016-01-07 12:30,226.88,0.056719292
2016-01-07 12:45,175.50,0.043873978
2016-01-07 13:00,2159.72,0.539928833
2016-01-07 13:15,195.35,0.048838078
2016-01-07 13:30,207.07,0.051767181
2016-01-07 13:45,254.52,0.063631115
2016-01-07 14:00,307.99,0.07699691
2016-01-07 14:15,200.43,0.050108219
2016-01-07 14:30,169.19,0.042297764
2016-01-07 14:45,139.19,0.034796345
2016-01-07 15:00,731.63,0.182907745
2016-01-07 15:15,2411.20,0.602800781
2016-01-07 15:30,2284.76,0.571189209
2016-01-07 15:45,2147.01,0.536753296
2016-01-07 16:00,300.49,0.075123337
2016-01-07 16:15,353.70,0.088425507
2016-01-07 16:30,328.24,0.082058792
2016-01-07 16:45,325.82,0.081455978
2016-01-07 17:00,333.99,0.08349791
2016-01-07 17:15,329.19,0.082298721
